21-12-2021:10:18:31 INFO     [<ipython-input-1-a24e40b510c8>:52] The user open an signal file path: C:/Users/DELL/Documents/GitHub/Task4-DSP-Interpolation/EMG_Normal.csv
21-12-2021:10:18:32 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 1
21-12-2021:10:18:32 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 0
21-12-2021:10:18:32 INFO     [<ipython-input-1-a24e40b510c8>:67] The user has chosen extrapolation model 
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 2
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 0
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:49 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 3
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 0
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:50 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 0
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:51 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:54 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:18:54 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 10
21-12-2021:10:18:54 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:54 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:55 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:55 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:55 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:55 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:58 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:18:58 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 9
21-12-2021:10:18:58 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:58 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 8
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 7
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:18:59 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 6
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:00 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:62] The user choose the number of chunks as : 4
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:64] The user choose the number of degree as : 5
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:92] The user has chosen interpolation model 
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:102] The user has chosen overlapping percentage :0
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:19:01 INFO     [<ipython-input-1-a24e40b510c8>:121] modelInterpolation has been done successfuly plotted 
21-12-2021:10:23:37 INFO     [<ipython-input-1-fb42a0980df7>:53] The user open an signal file path: C:/Users/DELL/Documents/GitHub/Task4-DSP-Interpolation/EMG_Normal.csv
21-12-2021:10:23:43 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:43 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:43 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
21-12-2021:10:23:47 INFO     [<ipython-input-1-fb42a0980df7>:72] The user has chosen extrapolation model 
21-12-2021:10:23:48 INFO     [<ipython-input-1-fb42a0980df7>:67] The user choose the number of chunks as : 1
21-12-2021:10:23:48 INFO     [<ipython-input-1-fb42a0980df7>:69] The user choose the number of degree as : 0
